listingAddress/full,listingAddress/street,listingStatus,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice
"5041 Red Fox Trl, Bauxite, AR 72011",5041 Red Fox Trl,forRent,,3,1200,,1550,84,https://www.zillow.com/homedetails/5041-Red-Fox-Trl-Bauxite-AR-72011/2071703035_zpid/,,191000
"802 Gussy Ln, Benton, AR 72019",802 Gussy Ln,forRent,,4,1459,,1650,18,https://www.zillow.com/homedetails/802-Gussy-Ln-Benton-AR-72019/460667108_zpid/,,222900
"2277 Sam Tillery Dr, Alexander, AR 72002",2277 Sam Tillery Dr,forRent,,4,1439,,1795,12,https://www.zillow.com/homedetails/2277-Sam-Tillery-Dr-Alexander-AR-72002/462316857_zpid/,,222900
"4340 Sloan Dr, Alexander, AR 72002",4340 Sloan Dr,forRent,,4,1850,,2140,45,https://www.zillow.com/homedetails/4340-Sloan-Dr-Alexander-AR-72002/442183331_zpid/,,267480
"1008 Santa Fe Trl, Bauxite, AR 72011",1008 Santa Fe Trl,forRent,,,,,,,https://www.zillow.com/b/1008-santa-fe-trl-bauxite-ar-BqKjfx/,,
"4332 Sloan Dr, Alexander, AR 72002",4332 Sloan Dr,forRent,,4,2112,,2255,42,https://www.zillow.com/homedetails/4332-Sloan-Dr-Alexander-AR-72002/464195265_zpid/,,
"830 Gussy Ln, Benton, AR 72019",830 Gussy Ln,forRent,,,,,,,https://www.zillow.com/b/830-gussy-ln-benton-ar-CqYvFB/,,
"148 Kelton Dr, Hensley, AR 72065",148 Kelton Dr,forRent,,4,1907,,2200,33,https://www.zillow.com/homedetails/148-Kelton-Dr-Hensley-AR-72065/464384218_zpid/,,
"6634 Hollywood Ave, Benton, AR 72019",6634 Hollywood Ave,forRent,,3,1051,,1195,0,https://www.zillow.com/homedetails/6634-Hollywood-Ave-Benton-AR-72019/459936342_zpid/,,
"2114 Richland Park Dr, Bryant, AR 72022",2114 Richland Park Dr,forRent,,3,1595,,1575,0,https://www.zillow.com/homedetails/2114-Richland-Park-Dr-Bryant-AR-72022/71716425_zpid/,,5656
"22930 Sam Tillery Dr, Alexander, AR 72002",22930 Sam Tillery Dr,forRent,,4,1640,,1950,15,https://www.zillow.com/homedetails/22930-Sam-Tillery-Dr-Alexander-AR-72002/464786376_zpid/,,
"154 Roman Heights Ave, Alexander, AR 72002",154 Roman Heights Ave,forRent,,,,,,,https://www.zillow.com/b/154-roman-heights-ave-alexander-ar-Cdzchh/,,
"5096 Woodstream Dr, Alexander, AR 72002",5096 Woodstream Dr,forRent,,3,1594,,2600,4,https://www.zillow.com/homedetails/5096-Woodstream-Dr-Alexander-AR-72002/2077881150_zpid/,,180150
"402 Stone Creek Dr, Benton, AR 72015",402 Stone Creek Dr,forRent,,4,1762,,1895,0,https://www.zillow.com/homedetails/402-Stone-Creek-Dr-Benton-AR-72015/71716020_zpid/,,178000
